iter	Passed	Remaining
475	683	752
476	685	752
477	687	750
478	688	748
479	689	746
480	690	744
481	691	742
482	692	741
483	693	739
484	694	737
485	695	735
486	697	734
487	699	733
488	700	731
489	701	730
490	702	728
491	703	726
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	708	714
498	710	713
499	711	711
500	713	710
501	714	709
502	715	707
503	716	705
504	717	703
505	718	701
506	719	699
507	720	697
508	721	695
509	722	693
510	722	691
511	723	689
512	724	688
513	726	686
514	728	685
515	729	684
516	730	682
517	731	680
518	732	678
519	733	676
520	733	674
521	734	672
522	735	670
523	736	668
524	737	667
525	738	665
526	739	664
527	741	663
528	743	662
529	744	660
530	746	658
531	747	657
532	748	655
533	749	653
534	750	651
535	750	649
536	751	648
537	752	646
538	753	644
539	754	642
540	755	641
541	757	639
542	758	638
543	759	636
544	760	634
545	761	633
546	762	631
547	763	629
548	764	627
549	765	625
550	765	624
551	766	622
552	767	620
553	768	618
554	769	616
555	770	615
556	772	614
557	773	612
558	773	610
559	774	608
560	775	606
561	776	605
562	777	603
563	778	601
564	778	599
565	779	597
566	780	596
567	781	594
568	782	592
569	782	590
570	783	588
571	785	587
572	786	585
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	575
579	792	574
580	793	572
581	794	570
582	795	568
583	796	567
584	796	565
585	797	563
586	798	561
587	799	559
588	800	558
589	802	557
590	803	556
591	804	554
592	805	552
593	806	550
594	806	549
595	807	547
596	808	545
597	809	543
598	809	542
599	810	540
600	811	538
601	812	536
602	812	535
603	813	533
604	815	532
605	817	531
606	818	529
607	818	527
608	819	526
609	820	524
610	822	523
611	823	521
612	823	520
613	824	518
614	825	516
615	826	515
616	826	513
617	827	511
618	828	509
619	829	508
620	831	507
621	832	506
622	833	504
623	834	502
624	835	501
625	836	499
626	837	498
627	838	496
628	838	494
629	839	493
630	841	491
631	842	490
632	842	488
633	843	486
634	844	485
635	845	484
636	847	482
637	848	481
638	849	479
639	850	478
640	850	476
641	851	474
642	852	473
643	853	471
644	854	470
645	855	468
646	856	467
647	856	465
648	857	463
649	858	462
650	859	460
651	861	459
652	863	458
653	864	457
654	864	455
655	865	453
656	866	452
657	867	450
658	868	449
659	869	447
660	869	446
661	870	444
662	871	442
663	872	441
664	873	439
665	874	438
666	875	437
667	877	436
668	878	434
669	880	433
670	881	432
671	881	430
672	882	428
673	883	427
674	884	425
675	885	424
676	886	422
677	887	421
678	888	419
679	889	418
680	891	417
681	892	416
682	894	414
683	895	413
684	896	412
685	897	410
686	897	409
687	898	407
688	899	406
689	900	404
690	901	403
691	902	401
692	902	399
693	903	398
694	904	397
695	905	395
696	907	394
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	911	385
703	913	383
704	913	382
705	914	380
706	915	379
707	916	377
708	916	376
709	917	374
710	918	373
711	919	371
712	920	370
713	921	369
714	922	367
715	923	366
716	924	364
717	924	363
718	925	361
719	926	360
720	927	358
721	928	357
722	928	355
723	929	354
724	930	353
725	931	351
726	932	350
727	932	348
728	933	347
729	934	345
730	935	344
731	936	342
732	937	341
733	938	340
734	939	338
735	940	337
736	941	335
737	942	334
738	943	333
739	943	331
740	944	330
741	945	328
742	946	327
743	946	325
744	947	324
745	948	322
746	949	321
747	950	320
748	951	318
749	952	317
750	953	316
751	954	314
752	955	313
753	956	312
754	957	310
755	958	309
756	958	307
757	959	306
758	960	304
759	961	303
760	962	302
761	963	300
762	964	299
763	964	298
764	966	296
765	967	295
766	969	294
767	970	293
768	971	291
769	972	290
770	972	288
771	973	287
772	974	286
773	975	284
774	976	283
775	977	282
776	977	280
777	978	279
778	979	277
779	979	276
780	981	275
781	982	274
782	983	272
783	984	271
784	985	269
785	986	268
786	987	267
787	988	266
788	989	264
789	990	263
790	990	261
791	991	260
792	992	259
793	993	257
794	993	256
795	994	254
796	995	253
797	996	252
798	998	251
799	999	249
800	1000	248
801	1001	247
802	1002	245
803	1002	244
804	1003	243
805	1004	241
806	1005	240
807	1006	239
808	1006	237
809	1008	236
810	1008	235
811	1009	233
812	1010	232
813	1011	231
814	1013	230
815	1014	228
816	1015	227
817	1016	226
818	1017	224
819	1018	223
820	1018	222
821	1019	220
822	1020	219
823	1021	218
824	1022	216
825	1023	215
826	1023	214
827	1024	212
828	1025	211
829	1026	210
830	1027	208
831	1028	207
832	1029	206
833	1030	205
834	1031	203
835	1032	202
836	1033	201
837	1034	200
838	1035	198
839	1036	197
840	1036	196
841	1037	194
842	1038	193
843	1039	192
